,County,Precinct,Bennet.First Expression,Bennet.Final Expression,Bennet.SDE,Biden.First Expression,Biden.Final Expression,Biden.SDE,Bloomberg.First Expression,Bloomberg.Final Expression,Bloomberg.SDE,Buttigieg.First Expression,Buttigieg.Final Expression,Buttigieg.SDE,Delaney.First Expression,Delaney.Final Expression,Delaney.SDE,Gabbard.First Expression,Gabbard.Final Expression,Gabbard.SDE,Klobuchar.First Expression,Klobuchar.Final Expression,Klobuchar.SDE,Patrick.First Expression,Patrick.Final Expression,Patrick.SDE,Sanders.First Expression,Sanders.Final Expression,Sanders.SDE,Steyer.First Expression,Steyer.Final Expression,Steyer.SDE,Warren.First Expression,Warren.Final Expression,Warren.SDE,Yang.First Expression,Yang.Final Expression,Yang.SDE,Other.First Expression,Other.Final Expression,Other.SDE,Uncommitted.First Expression,Uncommitted.Final Expression,Uncommitted.SDE
0,Adair,1NW ADAIR,0,0,0,6,6,0.0784,0,0,0,8,8,0.0784,0,0,0,0,0,0,8,8,0.1569,0,0,0,9,9,0.1569,0,0,0,9,9,0.1569,0,0,0,0,0,0,0,0,0
1,Adair,3SW FONTANELLE,0,0,0,9,9,0.1569,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7,0.1569,1,0,0,4,0,0,15,15,0.3922,0,0,0,0,0,0
2,Adair,5GF GREENFIELD,0,0,0,8,0,0,0,0,0,10,12,0.1569,0,0,0,0,0,0,26,32,0.3922,0,0,0,16,21,0.3137,0,0,0,6,0,0,12,13,0.1569,0,0,0,0,0,0
3,Adair,2NE STUART,0,0,0,6,0,0,0,0,0,10,15,0.3137,0,0,0,0,0,0,9,10,0.1569,0,0,0,10,10,0.2353,7,7,0.1569,0,0,0,1,1,0,0,0,0,0,0,0
4,Adair,4SE ORIENT,0,0,0,7,7,0.1569,0,0,0,6,6,0.1569,0,0,0,0,0,0,6,6,0.1569,0,0,0,6,6,0.0784,0,0,0,9,9,0.2353,0,0,0,0,0,0,0,0,0
5,Adams,Adams 5,0,0,0,4,4,0.0857,0,0,0,5,5,0.1714,0,0,0,0,0,0,3,3,0.0857,0,0,0,3,3,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Adams,Adams 2,0,0,0,4,4,0.0857,0,0,0,3,3,0.0857,0,0,0,0,0,0,5,5,0.1714,0,0,0,4,4,0.0857,0,0,0,5,5,0.1714,0,0,0,0,0,0,0,0,0
7,Adams,Adams 4,0,0,0,6,6,0.1714,0,0,0,3,3,0.0857,0,0,0,0,0,0,4,4,0.1714,0,0,0,2,0,0,0,0,0,3,5,0.1714,0,0,0,0,0,0,0,0,0
8,Adams,Adams 3,0,0,0,11,12,0.3429,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0.1714,0,0,0,5,5,0.1714,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,Adams,Adams 1,0,0,0,5,5,0.0857,0,0,0,7,7,0.1714,0,0,0,0,0,0,5,5,0.1714,0,0,0,7,7,0.1714,0,0,0,5,5,0.0857,0,0,0,0,0,0,0,0,0
