,county,precinct,candidate,1stalign,2ndalign,sde
0,Adair,1NW ADAIR,Bennet,0,0,0
1,Adair,1NW ADAIR,Biden,6,6,0.0784
2,Adair,1NW ADAIR,Bloomberg,0,0,0
3,Adair,1NW ADAIR,Buttigieg,8,8,0.0784
4,Adair,1NW ADAIR,Delaney,0,0,0
5,Adair,1NW ADAIR,Gabbard,0,0,0
6,Adair,1NW ADAIR,Klobuchar,8,8,0.1569
7,Adair,1NW ADAIR,Patrick,0,0,0
8,Adair,1NW ADAIR,Sanders,9,9,0.1569
9,Adair,1NW ADAIR,Steyer,0,0,0
10,Adair,1NW ADAIR,Warren,9,9,0.1569
11,Adair,1NW ADAIR,Yang,0,0,0
12,Adair,1NW ADAIR,Other,0,0,0
13,Adair,1NW ADAIR,Uncommitted,0,0,0
14,Adair,3SW FONTANELLE,Bennet,0,0,0
15,Adair,3SW FONTANELLE,Biden,9,9,0.1569
16,Adair,3SW FONTANELLE,Bloomberg,0,0,0
17,Adair,3SW FONTANELLE,Buttigieg,0,0,0
18,Adair,3SW FONTANELLE,Delaney,0,0,0
19,Adair,3SW FONTANELLE,Gabbard,0,0,0
20,Adair,3SW FONTANELLE,Klobuchar,1,0,0
21,Adair,3SW FONTANELLE,Patrick,0,0,0
22,Adair,3SW FONTANELLE,Sanders,4,7,0.1569
23,Adair,3SW FONTANELLE,Steyer,1,0,0
24,Adair,3SW FONTANELLE,Warren,4,0,0
25,Adair,3SW FONTANELLE,Yang,15,15,0.3922
26,Adair,3SW FONTANELLE,Other,0,0,0
27,Adair,3SW FONTANELLE,Uncommitted,0,0,0
28,Adair,5GF GREENFIELD,Bennet,0,0,0
29,Adair,5GF GREENFIELD,Biden,8,0,0
30,Adair,5GF GREENFIELD,Bloomberg,0,0,0
31,Adair,5GF GREENFIELD,Buttigieg,10,12,0.1569
32,Adair,5GF GREENFIELD,Delaney,0,0,0
33,Adair,5GF GREENFIELD,Gabbard,0,0,0
